"product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country"
"Hong Sheng Sheng Wu Brand  Li Jia Li (exceed vigra and cialis 3500 mg) Capsule (宏圣生物牌力加力),Capsule,Green,Oblong,No,Sildenafil,Hong Kong Hong Sheng Sheng Wu Yi Yao Yan Jiu Zhong Xin (香港宏圣生物医药研究中心),Nil"
"Super Power Pills 1800 mg Tablet (力加力),Nil,Red,Hexagon,Yes,Sildenafil,Tibet Lhasa Kangwei Biology Corporation (西藏拉萨康威保健品有限公司),China"
"Li Jia Li (&quot;F + F&quot; Super Enforcement Capsule) (力加力超强生力胶囊),Capsule,Gold,Oblong,No,Sildenafil,Nil,Nil"
"Jin Wei Ge Brand Lang Shen Yi Hao 800mg Tablet [(金威哥) 狼神1號],Nil,Red,Oblong,Yes,Sildenafil;Tadalafil,Xi Zang La Sa Kang Wei Bao Jian Pin You Xian Gong Si (西藏拉萨康威保健品有限公司),China"
"Kangli Brand Le Produit Fin De Aphrodisiaque 2500mg Capsule (康力保健牌壮阳极品一粒速效),Pill,Black;Pearl,Oblong& Round,Yes,Sibutramine;Sildenafil,Yan Ji Kang Li Bao Jian Pin You Xian Gong Si (延吉康力保健品有限公司),Nil"
"Maxidus Capsules,Capsule,Nil,Oblong,No,Methoxsalen;Sildenafil;Thiosildenafil,Maxidus Health Corporation,Nil"
"HongKong Ren He Tong Brand Lang Wang 3000mg Tablet (香港仁和堂牌狼王),Nil,Blue,Diamond,Yes,Sildenafil,Xiang Gang Ren He Tang Sheng Wu Yan Fa You Xian Gong Si (香港仁和堂生物研发有限公司),Hong Kong"
"Miraculous Evil Root 1200mg Tablet (神奇魔根),Nil,Yellow,Teardrop,Yes,Sildenafil,Tibet jin wei long Health Medicine Co. Ltd (西藏金威龙保健品有限公司),China"
"Mei Guo Lan Jing Ling (美国蓝精灵) (Green),Capsule,Green,Oblong,No,Sibutramine;Sildenafil,Xiang Gang Ai De Sheng Wu Ji Shu You Xian Gong Si (香港艾得生物技术有限公司),Hong Kong"
"Mei Guo Lan Jing Ling (美国蓝精灵) (Red),Capsule,Red,Oblong,No,Sibutramine;Sildenafil,Xiang Gang Ai De Sheng Wu Ji Shu You Xian Gong Si (香港艾得生物技术有限公司),Hong Kong"
"Li Long Brand Mei Guo Mo Bang 2500mg Capsule (力龙牌美国魔棒),Capsule,Green,Oblong,Yes,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Ji Shu You Xian Gong Si (西藏拉萨市力龙生物技术有限公司),China"
"Li Long Brand Mei Guo Zhan Shen 2500mg Capsule (力龙牌美国战神),Capsule,Beige;Red,Oblong,No,Lignocaine;Sildenafil;Tadalafil,Xi Zang La Sa Shi Li Long Sheng Wu Ji Shu You Xian Gong Si (西藏拉萨市力龙生物技术有限公司),China"
"Ju He Tang Brand Mei Guo Zhan Shen 1000mg Tablet (巨和堂牌美国战神 1000mg),Nil,Black,Oblong,Yes,Sildenafil;Vardenafil,Xiang Gang Ke Long Ke Ji You Xian Gong Si (香港科龙科技有限公司),China"
"Tong Le Tang Brand America Viagia 2000mg Tablet (同乐堂牌美国战神),Nil,Brown,Oblong,Yes,Piperiacetildenafil;Sildenafil;Vardenafil,Hai Nan Xin Bei Le Sheng Wu Ke Ji You Xian Gong Si (海南新贝乐生物科技有限公司),China"
"Baolong Brand USA Zhanshen 2000mg Capsule (寶龍牌美国战神),Capsule,Maroon,Oblong,No,Sildenafil,Nil,Nil"
"Tai He Tang Brand Mei Guo Zhan Shen 1800mg Tablet (太和堂牌美国战神),Nil,Brown,Oblong,Yes,Sildenafil,Xiang Gang Tai He Tang Sheng Wu Gong Cheng You Xian Gong Si (香港太和堂生物工程有限公司),Hong Kong"
"Mo General (猛男魔根),Nil,Beige,Teardrop,Yes,Sildenafil,Xi Zang La Sa Shi Duo De Sheng Wu Zhi Pin Gong Si (西藏拉萨市多得生物制品公司),China"
"Mei Guo Zhan Shen Wai Yong Shen You (美国战神外用神油),Liquid (External Use),Brown,Nil,No,Lignocaine;Verapamil,Xi Zang Mei Long Bao Jian Pin You Xian Gong Si (西藏美龙保健品有限公司),China"
"Midnight Express Men Lasting Cologne,Liquid (External Use),Brown,Nil,No,Lignocaine,Nil,Nil"
"Meng Hu Bei Zeng Capsule (猛虎倍增),Capsule,Red,Oblong,No,Sildenafil,Nil,Nil"
"Migino Capsule (美人露),Capsule,Transparent,Oblong,No,Lignocaine,Nil,Nil"
"Luquan Brand Nangen Zengzhangsu 0.4g Capsule (鹿泉牌男根增长素),Capsule,Beige;Red,Oblong,No,Sildenafil,Zhong Mei He Zi He Bei Lu Quan Sheng Wu Gong Cheng You Xian Gong Si (中美合资河北鹿泉生物工程有限公司),Nil"
"Jin Huang Jin Brand Nan Gen Jing Hua Su 1800mg Capsule (金黄金牌男根精华素),Capsule,Blue;White,Oblong,No,Sildenafil,Xiang Gang Jin Huang Jin Ke Ji Kai Fa You Xian Gong Si (香港金黄金科技开发有限公司),China"
"Power 1 Walnut 100mg Tablet (动力一号核桃素片) (Green),Nil,Green,Oblong,Yes,Sildenafil,广州新快力企业有限公司,China"
"Power 1 Walnut 500mg Tablet (动力一号核桃素片) (Pink),Nil,Pink,Oblong,Yes,Glibenclamide;Sildenafil,Nil,Nil"
"Power 1 Walnut 500mg Tablet (动力一号核桃素片) (Blue),Nil,Blue,Oblong,Yes,Sildenafil,Nil,Nil"
"Posh For Men Only Capsule (寳士情人秘膏),Liquid (External Use),Transparent,Oblong,No,Lignocaine,Nil,Nil"
"Jin Sheng Li Brand Qiang Gen Bao Jiao Nang 500mg (金聖力牌强根宝胶囊),Capsule,Green,Oblong,No,Sildenafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金聖力保健品有限公司),Nil"
"Sheng Yang Brand Qiang Shen Xiao Jin Wan 3g (升阳牌强肾小金丸),Pill,Black,Round,No,Sildenafil,Tibetan Health-Care Association &quot;Sheng Yang&quot; (西藏升阳保健品有限公司),China"
